study,dataset,variant,pca_components,k,window_radius,mutual,min_degree,use_spatial_affinity,alpha,checkpoint,fine_radius,filter_radius,prototype_threshold,prototype_neighbors,size_exponent,disable_fine_grouping,disable_consolidation,device,height,width,bands,n_nodes,directed_edge_entries,degree_min,degree_median,degree_p90,degree_max,isolated_nodes,sigma_spectral,sigma_spatial,last_movement,fine_modes_full,fine_oa,fine_balanced_accuracy,fine_nmi,fine_ari,dispersion_floor,n_clusters_full,largest_cluster_fraction_full,normalized_entropy_full,microcluster_mass_full,overall_accuracy,balanced_accuracy,nmi,ari,n_pred_clusters_labeled,load_preprocess_graph_seconds,affinity_seconds,diffusion_seconds,mode_extraction_consolidation_seconds,total_runtime_seconds,peak_process_rss_mb,peak_gpu_allocated_mb,peak_gpu_reserved_mb
sensitivity,salinas_a,checkpoint=100,20,20,7,True,4,True,0.5,100,0.15,3,0.75,30,0.5,False,False,cuda,83,86,204,7138,93276,4,13.0,20.0,22,0,1.7902700901031494,4.4721360206604,0.0520607195794582,51,0.7210172026925954,0.7058482837121715,0.7986553340342033,0.6959943573346626,0.8059818652660165,7,0.3586438778369291,0.8940020223615697,0.0,0.8057217651458489,0.7474972440069237,0.8658628671449173,0.7494985720647199,6,0.4261760409999624,0.1190810359998977,0.0456691249999039,0.2239017220001642,0.8386794309999459,1576.173568,253.323264,306.184192
sensitivity,salinas_a,checkpoint=200,20,20,7,True,4,True,0.5,200,0.15,3,0.75,30,0.5,False,False,cuda,83,86,204,7138,93276,4,13.0,20.0,22,0,1.7902700901031494,4.4721360206604,0.0337482132017612,23,0.8461106955871354,0.8346534720346698,0.906234036566752,0.870067583875545,0.6938366927678272,7,0.3593443541608294,0.8944049833253457,0.0,0.81226626776365,0.7520491847548216,0.8770100742625182,0.7608797661856372,6,0.4448773550000169,0.1204142900000988,0.0841934950001359,0.2223693349999393,0.89396279399989,1532.84608,253.323264,306.184192
sensitivity,salinas_a,fine_radius=0.075,20,20,7,True,4,True,0.5,100,0.075,3,0.75,30,0.5,False,False,cuda,83,86,204,7138,93276,4,13.0,20.0,22,0,1.7902700901031494,4.4721360206604,0.0520607195794582,116,0.4444652206432311,0.4741690564113777,0.6437174206216008,0.3505168398767014,0.5768915260138672,8,0.3558419725413281,0.8400138997938917,0.0015410479125805,0.8068436798803291,0.7479637313054974,0.8718472197746515,0.7559839217257324,8,0.4462277899999662,0.1298274890000357,0.0489212990000851,0.2211091709998527,0.869606124000029,1535.75424,253.323264,306.184192
sensitivity,salinas_a,fine_radius=0.1125,20,20,7,True,4,True,0.5,100,0.1125,3,0.75,30,0.5,False,False,cuda,83,86,204,7138,93276,4,13.0,20.0,22,0,1.7902700901031494,4.4721360206604,0.0520607195794582,66,0.5392670157068062,0.5724319938803176,0.7083098260273423,0.4517754684458728,0.7648555275874336,7,0.3541608293639675,0.8955337214868793,0.0,0.68773373223635,0.6782782058771266,0.771343463835576,0.5506972340255212,6,0.4287628789998052,0.1205491719999827,0.0464553609999711,0.2263319220000994,0.8447538899999927,1572.859904,253.323264,306.184192
sensitivity,salinas_a,fine_radius=0.15,20,20,7,True,4,True,0.5,100,0.15,3,0.75,30,0.5,False,False,cuda,83,86,204,7138,93276,4,13.0,20.0,22,0,1.7902700901031494,4.4721360206604,0.0520607195794582,51,0.7210172026925954,0.7058482837121715,0.7986553340342033,0.6959943573346626,0.8059818652660165,7,0.3586438778369291,0.8940020223615697,0.0,0.8057217651458489,0.7474972440069237,0.8658628671449173,0.7494985720647199,6,0.44314932400016,0.1215480660000594,0.0468777239998416,0.2237735470000643,0.8592664719999448,1535.803392,253.323264,306.184192
sensitivity,salinas_a,fine_radius=0.1875,20,20,7,True,4,True,0.5,100,0.1875,3,0.75,30,0.5,False,False,cuda,83,86,204,7138,93276,4,13.0,20.0,22,0,1.7902700901031494,4.4721360206604,0.0520607195794582,37,0.7425205684367988,0.710534661609829,0.843048019980156,0.760803330007919,0.9836866261936724,7,0.3597646399551695,0.8937128235126637,0.0,0.8083395661929693,0.7483558728439593,0.8647745167629146,0.7483824652456394,6,0.43029515000012,0.1210431590000098,0.0509967640000468,0.2221468720001667,0.8487379900000178,1560.313856,253.323264,306.184192
sensitivity,salinas_a,fine_radius=0.225,20,20,7,True,4,True,0.5,100,0.225,3,0.75,30,0.5,False,False,cuda,83,86,204,7138,93276,4,13.0,20.0,22,0,1.7902700901031494,4.4721360206604,0.0520607195794582,27,0.8479805534779357,0.8398238528421546,0.9055753213649104,0.8690638007948315,0.9679251569462743,7,0.3592042588960493,0.8958500892454776,0.0,0.8100224382946896,0.7509374002765664,0.8695216104383919,0.7541063236361459,6,0.4341430500001024,0.1208243549999679,0.046569621999879,0.2226548260000527,0.8468349990000661,1554.0224,253.323264,306.184192
sensitivity,indian_pines,window_radius=3,20,20,3,True,4,True,0.5,50,0.3,3,0.6,30,0.5,False,False,cuda,145,145,200,21025,232638,4,12.0,15.0,18,0,4.361852645874023,2.2360680103302,0.2304274588823318,176,0.434969265294175,0.5987098892843481,0.6712740000896754,0.3402438955891539,0.8995731470273183,87,0.2192152199762188,0.8039328997813003,0.0020927467300832,0.4377012391452825,0.6045542365169119,0.6579492498975219,0.3407313895746757,70,2.1515687830001298,0.2240125499999976,0.0432009109999853,0.3945066879998649,2.875016496000171,1888.096256,716.41088,876.609536
sensitivity,indian_pines,window_radius=5,20,20,5,True,4,True,0.5,50,0.3,3,0.6,30,0.5,False,False,cuda,145,145,200,21025,299084,4,15.0,20.0,23,0,4.16243839263916,3.1622776985168457,0.2100012153387069,140,0.4626792857839789,0.5819845632658809,0.6595533158759609,0.4120005578170662,0.9566924270640332,59,0.2971700356718192,0.719000240719497,0.0002853745541022,0.4642404136988974,0.5828081009440214,0.6321777388049876,0.4076251030916881,51,0.6490132009998888,0.2688062199999876,0.0447338629999194,0.3137806260001525,1.3183265269999538,2018.332672,716.41088,878.706688
sensitivity,indian_pines,window_radius=7,20,20,7,True,4,True,0.5,50,0.3,3,0.6,30,0.5,False,False,cuda,145,145,200,21025,292766,4,15.0,20.0,22,0,3.955310821533203,4.123105525970459,0.1763077080249786,122,0.3965264903893062,0.5089433569537044,0.6304065250822131,0.3027555898146475,1.23186965645556,35,0.3597146254458977,0.7558509308253974,0.0008561236623067,0.4180895697141184,0.4955754819131091,0.5884603158773851,0.302183229144247,33,0.8003882610000801,0.2725413870000466,0.0448484680000547,0.3213197350000882,1.4794123550000222,1986.453504,716.41088,878.706688
