dataset,display_name,method,seed,budget,budget_interpretation,requested_clusters,graph_full_scene_clusters,graph_evaluated_support_clusters,status,overall_accuracy,balanced_accuracy,kappa,nmi,ami,ari,homogeneity,completeness,v_measure,n_pred_clusters_labeled,full_scene_clusters,runtime_seconds,peak_rss_mb
whu_hi_honghu,WHU-Hi HongHu,minibatch_kmeans,3,evaluated_support,"diagnostic evaluated-support control; uses mask geometry, not class identities",46,46,46,complete,0.23443144820309653,0.2896260325343788,0.20266627089524591,0.4229874276273192,0.4227460748395929,0.1294705132560918,0.5566197592352746,0.34109735160359034,0.4229874276273192,46,46,3.218773800006602,950.104064
whu_hi_honghu,WHU-Hi HongHu,minibatch_kmeans,4,evaluated_support,"diagnostic evaluated-support control; uses mask geometry, not class identities",46,46,46,complete,0.21837995515822628,0.2830807398577085,0.19047424522568301,0.42143659239322084,0.4211955291610889,0.1178951704990311,0.5567144306287076,0.33904978875759606,0.4214365923932209,46,46,3.2909575999947265,950.21056
whu_hi_hanchuan,WHU-Hi HanChuan,minibatch_kmeans,0,full_scene,primary full-scene partition-complexity control,83,83,79,complete,0.19182619500640702,0.1830262941773867,0.1543829306141089,0.4479117693126867,0.44748732926169993,0.19169510600819892,0.6158185635046465,0.35195030969221597,0.44791176931268667,83,83,3.1640005000517704,853.676032
whu_hi_hanchuan,WHU-Hi HanChuan,minibatch_kmeans,1,full_scene,primary full-scene partition-complexity control,83,83,79,complete,0.190082708810624,0.18425717968356572,0.15660721818080048,0.44375420632948676,0.4433275926329605,0.18863046597072364,0.6108622389276529,0.3484357923861846,0.44375420632948676,83,83,3.0480612000101246,856.322048
whu_hi_hanchuan,WHU-Hi HanChuan,minibatch_kmeans,2,full_scene,primary full-scene partition-complexity control,83,83,79,complete,0.20025628082165184,0.17370278684369883,0.16278723769299985,0.4494180207524266,0.4489974842313741,0.20859448303834777,0.6212644832298095,0.3520408537143053,0.44941802075242654,83,83,2.9365155000123195,858.087424
whu_hi_hanchuan,WHU-Hi HanChuan,minibatch_kmeans,3,full_scene,primary full-scene partition-complexity control,83,83,79,complete,0.2642061119092921,0.1943086021763429,0.21484976409944112,0.4648091213509174,0.4643915320263661,0.34858238366418753,0.6288783600329046,0.3686352016668395,0.4648091213509174,83,83,3.3892745999619365,856.879104
whu_hi_hanchuan,WHU-Hi HanChuan,minibatch_kmeans,4,full_scene,primary full-scene partition-complexity control,83,83,79,complete,0.19019143400768843,0.17196268725343594,0.15766341789787297,0.46024054586923296,0.45982427509783447,0.2586286135925482,0.6301096257977049,0.3625121469593942,0.4602405458692329,83,83,3.2298628999851644,858.816512
whu_hi_hanchuan,WHU-Hi HanChuan,minibatch_kmeans,0,evaluated_support,"diagnostic evaluated-support control; uses mask geometry, not class identities",79,83,79,complete,0.23268745388886733,0.18818269677002983,0.18740507942287,0.45687577966657744,0.45647187525563493,0.2950267783903532,0.6165268157609003,0.36290158107816434,0.45687577966657744,79,79,3.0156304000411183,857.649152
whu_hi_hanchuan,WHU-Hi HanChuan,minibatch_kmeans,1,evaluated_support,"diagnostic evaluated-support control; uses mask geometry, not class identities",79,83,79,complete,0.2187667456218693,0.1826379527760263,0.17712903008540892,0.44881701702586385,0.4484144826813145,0.23967035889599803,0.6166072071020099,0.3528107160525391,0.44881701702586385,79,79,3.0602383999503218,857.74336
whu_hi_hanchuan,WHU-Hi HanChuan,minibatch_kmeans,2,evaluated_support,"diagnostic evaluated-support control; uses mask geometry, not class identities",79,83,79,complete,0.2087601444491904,0.191178166911456,0.16802881165185612,0.45507686294671185,0.4546684156744435,0.2618321610256513,0.6097127590148465,0.3630099534105125,0.45507686294671185,79,79,3.4132978999987245,859.430912
whu_hi_hanchuan,WHU-Hi HanChuan,minibatch_kmeans,3,evaluated_support,"diagnostic evaluated-support control; uses mask geometry, not class identities",79,83,79,complete,0.24097775016502931,0.20461780919657618,0.19562892772912355,0.4621731442982963,0.4617702167902477,0.2959263633452451,0.6199395420755944,0.36841612331020673,0.4621731442982963,79,79,3.4244488999829628,859.537408
whu_hi_hanchuan,WHU-Hi HanChuan,minibatch_kmeans,4,evaluated_support,"diagnostic evaluated-support control; uses mask geometry, not class identities",79,83,79,complete,0.3098551625053392,0.21378669823075525,0.25254109904108846,0.46828504833218787,0.4678782416815314,0.4504658257384808,0.6149557339449336,0.37810476133404464,0.4682850483321878,79,79,3.143731000018306,858.120192
botswana,Botswana,minibatch_kmeans,0,full_scene,primary full-scene partition-complexity control,38,38,21,complete,0.44396551724137934,0.47455407150411105,0.4166553545765931,0.6392240060994338,0.6298767604757066,0.3778087088167168,0.7305933175335433,0.5681679078887244,0.6392240060994336,37,38,0.9570711000123993,907.354112
botswana,Botswana,minibatch_kmeans,1,full_scene,primary full-scene partition-complexity control,38,38,21,complete,0.4649014778325123,0.4894952853927073,0.4388878396726976,0.6304239040432693,0.6209462702905251,0.37455677846170427,0.721673108560051,0.5596598484540174,0.6304239040432693,36,38,1.0207094000070356,905.920512
botswana,Botswana,minibatch_kmeans,2,full_scene,primary full-scene partition-complexity control,38,38,21,complete,0.42764778325123154,0.45971533151917754,0.40123944167014236,0.6510782393513492,0.6418197556163812,0.3872875170615376,0.7479784769925892,0.5764052300502107,0.6510782393513492,37,38,0.9564021999831311,905.977856
botswana,Botswana,minibatch_kmeans,3,full_scene,primary full-scene partition-complexity control,38,38,21,complete,0.4208743842364532,0.4297645822262984,0.3931062817571831,0.6287566739599844,0.6192266099331367,0.3590471663288639,0.7172084461818407,0.5597267766935249,0.6287566739599844,36,38,0.9470067999791354,905.986048
botswana,Botswana,minibatch_kmeans,4,full_scene,primary full-scene partition-complexity control,38,38,21,complete,0.4251847290640394,0.4473065318452254,0.3979545002137037,0.6238332177754529,0.6141217405278042,0.356920142424039,0.7142658910274082,0.5537263379435929,0.6238332177754526,36,38,1.066439900023397,906.010624
botswana,Botswana,minibatch_kmeans,0,evaluated_support,"diagnostic evaluated-support control; uses mask geometry, not class identities",21,38,21,complete,0.5175492610837439,0.5319518595592381,0.48411606297948384,0.622209431465849,0.6166498906641955,0.4045941785144923,0.6521102810402016,0.5949304182960209,0.6222094314658491,20,21,0.7053075999720022,906.031104
botswana,Botswana,minibatch_kmeans,1,evaluated_support,"diagnostic evaluated-support control; uses mask geometry, not class identities",21,38,21,complete,0.5378694581280788,0.5548320551100759,0.5080001166611144,0.6315035191924909,0.6261418821101267,0.41865633250956,0.6674435635004143,0.5992362553432428,0.6315035191924908,20,21,0.7138748000143096,906.145792
botswana,Botswana,minibatch_kmeans,2,evaluated_support,"diagnostic evaluated-support control; uses mask geometry, not class identities",21,38,21,complete,0.5067733990147784,0.5233906442254788,0.4764416681231487,0.6221566177154888,0.6166648264843777,0.41933570047629165,0.6565898000802131,0.5911549971884544,0.6221566177154888,20,21,0.6939520000014454,906.174464
botswana,Botswana,minibatch_kmeans,3,evaluated_support,"diagnostic evaluated-support control; uses mask geometry, not class identities",21,38,21,complete,0.5492610837438424,0.5596042594267566,0.5189080927033374,0.6307573848362134,0.6253106618572126,0.43435078662572424,0.6613655082106421,0.602857044457383,0.6307573848362134,20,21,0.899914700014051,906.186752
botswana,Botswana,minibatch_kmeans,4,evaluated_support,"diagnostic evaluated-support control; uses mask geometry, not class identities",21,38,21,complete,0.5360221674876847,0.5497991447788123,0.5057673348204531,0.6352432450323076,0.6298800220872919,0.4259122386051415,0.6667923443123092,0.6065447446234236,0.6352432450323077,20,21,0.6421931000077166,906.194944
trento,Trento,minibatch_kmeans,0,full_scene,primary full-scene partition-complexity control,68,68,41,complete,0.16002515390216457,0.2371218859092179,0.12816224678895816,0.4108156052728561,0.40956450666600575,0.10340219483361035,0.7136896911046763,0.2884175780015825,0.41081560527285615,68,68,2.26658579998184,459.210752
trento,Trento,minibatch_kmeans,1,full_scene,primary full-scene partition-complexity control,68,68,41,complete,0.15489508175018205,0.24975613149234324,0.12092436275869922,0.41049921793000704,0.4092559730804918,0.0939357849175559,0.7202942710608928,0.28704329615488006,0.410499217930007,68,68,2.037798599980306,458.457088
trento,Trento,minibatch_kmeans,2,full_scene,primary full-scene partition-complexity control,68,68,41,complete,0.16062090421658834,0.24825104565507572,0.12886791871719894,0.41120709699466956,0.40996294652245047,0.09582983284798995,0.7178206120792017,0.2881326600015233,0.4112070969946697,68,68,1.9925627000047825,458.514432
