dataset,rule,selected_threshold,selected_clusters_full,candidate_settings,OA_selected,OA_oracle,OA_oracle_gap,OA_rank,BA_selected,BA_oracle,BA_oracle_gap,BA_rank,NMI_selected,NMI_oracle,NMI_oracle_gap,NMI_rank,ARI_selected,ARI_oracle,ARI_oracle_gap,ARI_rank
whu_hi_honghu,without_entropy_gate,0.75,46,20,0.7703630528610551,0.7703630528610551,0.0,1,0.6197677015816356,0.6197677015816356,0.0,1,0.7648677499572327,0.7669273171176934,0.0020595671604606,4,0.8585813540740569,0.859603230023584,0.001021875949527,3
whu_hi_honghu,without_compression_band,0.75,46,20,0.7703630528610551,0.7703630528610551,0.0,1,0.6197677015816356,0.6197677015816356,0.0,1,0.7648677499572327,0.7669273171176934,0.0020595671604606,4,0.8585813540740569,0.859603230023584,0.001021875949527,3
whu_hi_honghu,stability_only,2.0,1,20,0.4222600357389454,0.7703630528610551,0.3481030171221097,18,0.0454545454545454,0.6197677015816356,0.5743131561270902,18,0.0,0.7669273171176934,0.7669273171176934,18,0.0,0.859603230023584,0.859603230023584,18
whu_hi_hanchuan,frozen_full_selector,3.0,83,20,0.5129887780064458,0.5129887780064458,0.0,1,0.3828498407998426,0.4114637933454471,0.0286139525456045,2,0.613392922012487,0.6199354785308562,0.0065425565183692,4,0.6365325393677354,0.6383645056795367,0.0018319663118013,2
whu_hi_hanchuan,without_persistence,3.0,83,20,0.5129887780064458,0.5129887780064458,0.0,1,0.3828498407998426,0.4114637933454471,0.0286139525456045,2,0.613392922012487,0.6199354785308562,0.0065425565183692,4,0.6365325393677354,0.6383645056795367,0.0018319663118013,2
whu_hi_hanchuan,without_largest_cluster_gate,3.0,83,20,0.5129887780064458,0.5129887780064458,0.0,1,0.3828498407998426,0.4114637933454471,0.0286139525456045,2,0.613392922012487,0.6199354785308562,0.0065425565183692,4,0.6365325393677354,0.6383645056795367,0.0018319663118013,2
whu_hi_hanchuan,without_entropy_gate,3.0,83,20,0.5129887780064458,0.5129887780064458,0.0,1,0.3828498407998426,0.4114637933454471,0.0286139525456045,2,0.613392922012487,0.6199354785308562,0.0065425565183692,4,0.6365325393677354,0.6383645056795367,0.0018319663118013,2
whu_hi_hanchuan,without_compression_band,3.0,83,20,0.5129887780064458,0.5129887780064458,0.0,1,0.3828498407998426,0.4114637933454471,0.0286139525456045,2,0.613392922012487,0.6199354785308562,0.0065425565183692,4,0.6365325393677354,0.6383645056795367,0.0018319663118013,2
whu_hi_hanchuan,stability_only,2.0,83,20,0.5129887780064458,0.5129887780064458,0.0,1,0.3828498407998426,0.4114637933454471,0.0286139525456045,2,0.613392922012487,0.6199354785308562,0.0065425565183692,4,0.6365325393677354,0.6383645056795367,0.0018319663118013,2
botswana,frozen_full_selector,0.65,38,20,0.4498152709359606,0.4498152709359606,0.0,1,0.438112344994487,0.438112344994487,0.0,1,0.7166020599989423,0.7166020599989423,0.0,1,0.3234322867601792,0.3234322867601792,0.0,1
botswana,without_persistence,0.65,38,20,0.4498152709359606,0.4498152709359606,0.0,1,0.438112344994487,0.438112344994487,0.0,1,0.7166020599989423,0.7166020599989423,0.0,1,0.3234322867601792,0.3234322867601792,0.0,1
botswana,without_largest_cluster_gate,0.65,38,20,0.4498152709359606,0.4498152709359606,0.0,1,0.438112344994487,0.438112344994487,0.0,1,0.7166020599989423,0.7166020599989423,0.0,1,0.3234322867601792,0.3234322867601792,0.0,1
botswana,without_entropy_gate,0.65,38,20,0.4498152709359606,0.4498152709359606,0.0,1,0.438112344994487,0.438112344994487,0.0,1,0.7166020599989423,0.7166020599989423,0.0,1,0.3234322867601792,0.3234322867601792,0.0,1
botswana,without_compression_band,0.65,38,20,0.4498152709359606,0.4498152709359606,0.0,1,0.438112344994487,0.438112344994487,0.0,1,0.7166020599989423,0.7166020599989423,0.0,1,0.3234322867601792,0.3234322867601792,0.0,1
botswana,stability_only,0.75,1,20,0.0966748768472906,0.4498152709359606,0.3531403940886699,15,0.0714285714285714,0.438112344994487,0.3666837735659155,15,0.0,0.7166020599989423,0.7166020599989423,15,0.0,0.3234322867601792,0.3234322867601792,15
trento,frozen_full_selector,0.75,68,20,0.85331303369299,0.85331303369299,0.0,1,0.6773542941185876,0.6773542941185876,0.0,1,0.8494834984320455,0.8494834984320455,0.0,1,0.9447463525838752,0.9447463525838752,0.0,1
trento,without_persistence,0.75,68,20,0.85331303369299,0.85331303369299,0.0,1,0.6773542941185876,0.6773542941185876,0.0,1,0.8494834984320455,0.8494834984320455,0.0,1,0.9447463525838752,0.9447463525838752,0.0,1
trento,without_largest_cluster_gate,0.75,68,20,0.85331303369299,0.85331303369299,0.0,1,0.6773542941185876,0.6773542941185876,0.0,1,0.8494834984320455,0.8494834984320455,0.0,1,0.9447463525838752,0.9447463525838752,0.0,1
trento,without_entropy_gate,0.75,68,20,0.85331303369299,0.85331303369299,0.0,1,0.6773542941185876,0.6773542941185876,0.0,1,0.8494834984320455,0.8494834984320455,0.0,1,0.9447463525838752,0.9447463525838752,0.0,1
trento,without_compression_band,0.75,68,20,0.85331303369299,0.85331303369299,0.0,1,0.6773542941185876,0.6773542941185876,0.0,1,0.8494834984320455,0.8494834984320455,0.0,1,0.9447463525838752,0.9447463525838752,0.0,1
trento,stability_only,0.05,213,20,0.8528165750976369,0.85331303369299,0.0004964585953531,10,0.6765666444651536,0.6773542941185876,0.000787649653434,10,0.8464034990640424,0.8494834984320455,0.003079999368003,15,0.9445236729691064,0.9447463525838752,0.0002226796147686,15
