dataset,label_free_signal,metric,spearman_rho,pvalue_descriptive_only,candidate_settings
whu_hi_hanchuan,largest_cluster_penalty,NMI,-0.8684168428648436,6.898838142861856e-07,20
whu_hi_hanchuan,largest_cluster_penalty,ARI,-0.8684168428648436,6.898838142861856e-07,20
whu_hi_hanchuan,normalized_entropy,OA,0.8077082789067426,1.659101016249754e-05,20
whu_hi_hanchuan,normalized_entropy,BA,0.8213086053990918,9.040467272968137e-06,20
whu_hi_hanchuan,normalized_entropy,NMI,0.8929110105580693,1.1856865704162e-07,20
whu_hi_hanchuan,normalized_entropy,ARI,0.823529411764706,8.148106208925544e-06,20
whu_hi_hanchuan,microcluster_penalty,OA,0.988204172898885,4.0235801269767637e-16,20
whu_hi_hanchuan,microcluster_penalty,BA,0.988204172898885,4.0235801269767637e-16,20
whu_hi_hanchuan,microcluster_penalty,NMI,0.9414018177839766,6.248094722775914e-10,20
whu_hi_hanchuan,microcluster_penalty,ARI,0.9901475429766744,8.016968967131228e-17,20
whu_hi_hanchuan,compression,OA,0.9981128497996324,2.8631991228118056e-23,20
whu_hi_hanchuan,compression,BA,0.9890459654713994,2.0727475781070726e-16,20
whu_hi_hanchuan,compression,NMI,0.9547511312217194,6.406088574064088e-11,20
whu_hi_hanchuan,compression,ARI,0.9909502262443438,3.7420423525218624e-17,20
botswana,adjacent_stability,OA,-0.7213487454796341,0.0004908330550363,19
botswana,adjacent_stability,BA,-0.7213487454796341,0.0004908330550363,19
botswana,adjacent_stability,NMI,-0.7671061828090905,0.0001268260643983,19
botswana,adjacent_stability,ARI,-0.7683535517045812,0.0001217284839019,19
botswana,largest_cluster_penalty,OA,0.845873841282652,2.626607715441214e-06,20
botswana,largest_cluster_penalty,BA,0.845873841282652,2.626607715441214e-06,20
botswana,largest_cluster_penalty,NMI,0.8060099082255581,1.78384756363265e-05,20
botswana,largest_cluster_penalty,ARI,0.8063217712313179,1.7603503190091036e-05,20
botswana,normalized_entropy,OA,0.952136390735963,1.051970098541984e-10,20
botswana,normalized_entropy,BA,0.952136390735963,1.051970098541984e-10,20
botswana,normalized_entropy,NMI,0.997681905334708,1.8201177915068955e-22,20
botswana,normalized_entropy,ARI,0.9988410272327612,3.567727110412127e-25,20
botswana,microcluster_penalty,OA,-0.4113455209304658,0.0715645012426367,20
botswana,microcluster_penalty,BA,-0.4113455209304658,0.0715645012426367,20
botswana,microcluster_penalty,NMI,-0.3015075602139904,0.1964003661905828,20
botswana,microcluster_penalty,ARI,-0.3008508247009357,0.1974249832754041,20
botswana,compression,OA,-0.4103756505216331,0.0723022004010577,20
botswana,compression,BA,-0.4103756505216331,0.0723022004010577,20
botswana,compression,NMI,-0.300618327788692,0.1977885722020787,20
botswana,compression,ARI,-0.2999615468779499,0.1988180919526976,20
trento,adjacent_stability,OA,-0.614494761667735,0.0051191739515316,19
trento,adjacent_stability,BA,-0.614494761667735,0.0051191739515316,19
trento,adjacent_stability,NMI,-0.6694733428420837,0.0017174777089716,19
trento,adjacent_stability,ARI,-0.6739419864253992,0.0015565203007606,19
trento,largest_cluster_penalty,OA,0.1622547828629673,0.494320309923005,20
trento,largest_cluster_penalty,BA,0.1622547828629673,0.494320309923005,20
trento,largest_cluster_penalty,NMI,0.0441234409582586,0.8534568364556488,20
trento,largest_cluster_penalty,ARI,0.0442750973032807,0.8529583951078823,20
trento,normalized_entropy,OA,0.9313021690614488,2.518006601639442e-09,20
trento,normalized_entropy,BA,0.9313021690614488,2.518006601639442e-09,20
trento,normalized_entropy,NMI,0.9851998795085706,3.067050939292564e-15,20
trento,normalized_entropy,ARI,0.9939174605852478,1.0587354611760842e-18,20
trento,microcluster_penalty,OA,-0.1108825027008119,0.6416509456113337,20
trento,microcluster_penalty,BA,-0.1108825027008119,0.6416509456113337,20
trento,microcluster_penalty,NMI,0.0098821747921043,0.9670172412206444,20
trento,microcluster_penalty,ARI,0.0152556011389243,0.949101219346613,20
trento,compression,OA,-0.1107142438744379,0.6421598184314344,20
trento,compression,BA,-0.1107142438744379,0.6421598184314344,20
trento,compression,NMI,0.0136622479438784,0.9544116829136337,20
trento,compression,ARI,0.0190405643790277,0.9364950463219258,20
