dataset,method,seed,uses_true_k,uses_labels_for_selection,selected_resolution,runtime_seconds,peak_rss_mb,overall_accuracy,balanced_accuracy,kappa,nmi,ami,ari,homogeneity,completeness,v_measure,n_pred_clusters,tiny_cluster_pixel_fraction,n_clusters_full,n_clusters_labeled,preprocessing,implementation,min_cluster_size,min_samples,cluster_selection_method,noise_fraction_full,noise_fraction_labeled,n_clusters_full_excluding_noise,n_clusters_labeled_excluding_noise
ksc,Leiden,2,False,False,0.32,28.289670588000035,1055.186944,0.5486470926885435,0.6130535065782473,0.5223820014337575,0.7831253273388366,0.778074024315026,0.5287394329697479,0.9191777629515908,0.6821557869300787,0.7831253273388367,84,0.02091729034734216,13936,84,,,,,,,,,
ksc,Leiden,4,False,False,0.32,28.632547954000074,1055.531008,0.5444252542698138,0.6107969284413121,0.5177156239587257,0.764881209755826,0.7593906178614475,0.4978906535667151,0.8963432095859172,0.6670486510708066,0.764881209755826,84,0.023987718288236422,13932,84,,,,,,,,,
pavia_university,Leiden,3,False,False,0.1,16.128359874000125,820.965376,0.45167851131475595,0.4261276472559667,0.3803046403198239,0.6664325091508728,0.6655946146211977,0.38592539860347885,0.9224566255677976,0.5216505129516694,0.6664325091508728,69,0.0340611557882925,473,69,,,,,,,,,
pavia_university,Leiden,1,False,False,0.1,16.50619032099985,787.12832,0.44122872638862914,0.44594220776642207,0.37359889666961965,0.6684265506787278,0.6676309313486976,0.38160314826928815,0.912879537173254,0.5272407953110212,0.6684265506787279,65,0.03420142135777071,466,65,,,,,,,,,
pavia_university,Leiden,0,False,False,0.1,16.60139295099998,779.603968,0.39840097250794837,0.4130474111387485,0.3374792442107446,0.6426831171225179,0.6418396218486109,0.30742725830306633,0.9036531497676075,0.4986699834422736,0.6426831171225179,66,0.03116233401907612,464,66,,,,,,,,,
pavia_university,Leiden,2,False,False,0.1,16.17290847199979,814.927872,0.41962782868898446,0.41938263164253675,0.3545197403373027,0.6575978703886733,0.6567947962045979,0.3542734412145486,0.9094774252173347,0.5149755228283092,0.6575978703886732,64,0.031325977183467364,465,64,,,,,,,,,
pavia_university,Leiden,4,False,False,0.1,16.20994349900002,825.77408,0.4716195997755751,0.4294305284877367,0.39645312912306674,0.6721795912669608,0.67134554455015,0.42573632141983014,0.9176883708773164,0.5303068304355301,0.6721795912669607,68,0.03345333832055358,465,68,,,,,,,,,
indian_pines,Leiden,3,False,False,1.0,1.3572506670000166,345.280512,0.3768172504634599,0.6013402524951914,0.3524306503419026,0.6938860676622725,0.6895304250740636,0.2821656043209515,0.9084639184255939,0.5613063318425474,0.6938860676622726,62,0.03678407649526783,88,62,,,,,,,,,
indian_pines,Leiden,1,False,False,1.0,1.3493913760000282,343.06048,0.38335447360718117,0.6078589527874936,0.359052754175024,0.6942768230654563,0.6899103735068155,0.2848495927539523,0.9090877297517229,0.5615795948468865,0.6942768230654562,62,0.03132012879305298,87,62,,,,,,,,,
indian_pines,Leiden,0,False,False,1.0,1.356350396000039,342.904832,0.3864767294370182,0.6083170816233887,0.36150456930102504,0.6964664779673618,0.6923482856286352,0.29495383318291674,0.9078640824136601,0.5649232055155885,0.6964664779673617,58,0.02683188603766221,86,58,,,,,,,,,
