stability_min,compression_max,beta_agreement_min,coverage,mean_OA,mean_BA,mean_NMI,mean_ARI,structural_score
0.875,0.9,0.5,4,0.6177113442852695,0.6281468737829549,0.7605606559696595,0.6081207086366472,0.6843406823031535
0.875,0.9,0.6,4,0.6177113442852695,0.6281468737829549,0.7605606559696595,0.6081207086366472,0.6843406823031535
0.875,0.9,0.7,4,0.6177113442852695,0.6281468737829549,0.7605606559696595,0.6081207086366472,0.6843406823031535
0.875,0.9,0.8,4,0.6322479015679409,0.6350892947197079,0.7581689175936918,0.5996704486873642,0.6789196831405281
0.875,0.9,0.9,4,0.6322479015679409,0.6350892947197079,0.7581689175936918,0.5996704486873642,0.6789196831405281
0.875,0.95,0.5,4,0.6337398372109279,0.6434675594319199,0.7684156176412782,0.6200499429816686,0.6942327803114735
0.875,0.95,0.6,4,0.6337398372109279,0.6434675594319199,0.7684156176412782,0.6200499429816686,0.6942327803114735
0.875,0.95,0.7,4,0.6337398372109279,0.6434675594319199,0.7684156176412782,0.6200499429816686,0.6942327803114735
0.875,0.95,0.8,4,0.6482763944935992,0.6504099803686729,0.7660238792653105,0.6115996830323855,0.6888117811488481
0.875,0.95,0.9,4,0.6482763944935992,0.6504099803686729,0.7660238792653105,0.6115996830323855,0.6888117811488481
0.9,0.85,0.5,2,0.5979999661265429,0.5976019825340231,0.7624376346232745,0.5573867984465298,0.6599122165349022
0.9,0.85,0.6,2,0.5979999661265429,0.5976019825340231,0.7624376346232745,0.5573867984465298,0.6599122165349022
0.9,0.85,0.7,2,0.5979999661265429,0.5976019825340231,0.7624376346232745,0.5573867984465298,0.6599122165349022
0.9,0.85,0.8,2,0.5979999661265429,0.5976019825340231,0.7624376346232745,0.5573867984465298,0.6599122165349022
0.9,0.85,0.9,2,0.5979999661265429,0.5976019825340231,0.7624376346232745,0.5573867984465298,0.6599122165349022
0.9,0.9,0.5,2,0.5979999661265429,0.5976019825340231,0.7624376346232745,0.5573867984465298,0.6599122165349022
0.9,0.9,0.6,2,0.5979999661265429,0.5976019825340231,0.7624376346232745,0.5573867984465298,0.6599122165349022
0.9,0.9,0.7,2,0.5979999661265429,0.5976019825340231,0.7624376346232745,0.5573867984465298,0.6599122165349022
0.9,0.9,0.8,2,0.5979999661265429,0.5976019825340231,0.7624376346232745,0.5573867984465298,0.6599122165349022
0.9,0.9,0.9,2,0.5979999661265429,0.5976019825340231,0.7624376346232745,0.5573867984465298,0.6599122165349022
0.9,0.95,0.5,3,0.6063987823283075,0.5181776266620873,0.7371624556252104,0.6329610798080932,0.6850617677166517
0.9,0.95,0.6,3,0.6063987823283075,0.5181776266620873,0.7371624556252104,0.6329610798080932,0.6850617677166517
0.9,0.95,0.7,3,0.5294661864766335,0.48106500268568114,0.6929109429159316,0.5528939502549947,0.6229024465854631
0.9,0.95,0.8,3,0.5294661864766335,0.48106500268568114,0.6929109429159316,0.5528939502549947,0.6229024465854631
0.9,0.95,0.9,3,0.5294661864766335,0.48106500268568114,0.6929109429159316,0.5528939502549947,0.6229024465854631
